BHK,price,per_month_emi,total_sqft,latitude,longitude
3,75,39.72,1550,19.98796,73.78739
2,41,21.71,1000,19.98246,73.81184
2,53.35,28.25,970,19.97585,73.78875
2,55,29.13,1000,19.9305322,73.81173403
2,27,14.3,853,19.95531,73.84089
2,42,22.24,1050,20.00132,73.75503
2,35.5,18.8,1035,20.02679,73.80024
3,48,25.42,1375,19.95835,73.825
2,32,16.95,850,19.95708,73.83467
2,32,16.95,1020,20.01676,73.79352
2,28,14.83,810,19.9479,73.83178
2,28,14.83,810,19.9479,73.83178
3,48,25.42,1250,19.95531,73.84089
2,35,18.53,1900,19.95531,73.84089
2,25,13.24,840,19.95531,73.84089
2,34,18,1100,19.95298,73.83799
1,25,13.24,713,19.95531,73.84089
2,40,21.18,950,20.01098,73.80851
2,40,21.18,990,19.97114,73.8209
1,25,13.24,560,19.94625,73.8147
2,42,22.24,1050,19.94625,73.8147
1,23.04,12.2,720,19.94427,73.83229
2,40,21.18,845,19.97745,73.80683
2,36.5,19.33,853,19.9851641,73.76094031
2,38,20.12,900,19.98608,73.74698
3,55,29.13,1250,19.96435,73.83253
1,30,15.89,850,19.9622125,73.83917012
1,30,15.89,850,19.95531,73.84089
2,36,19.06,850,19.97475,73.82099
2,31,16.42,1395,19.95531,73.84089
2,35,18.53,1100,19.97436,73.8317
2,38,20.12,1000,19.97936,73.81284
1,17.95,9.51,610,19.98089,73.84204
2,32,16.95,741,20.4762,73.92358
2,35,18.53,1100,19.97945,73.78963
1,20,10.59,610,19.97181,73.7689
2,30,15.89,835,19.99768,73.79156
2,32,16.95,1035,19.96911,73.81989
3,55,29.13,1600,19.95531,73.84089
2,35,18.53,984,19.96159,73.82859
2,32,16.95,1035,19.97308,73.82193
2,29.25,15.49,750,19.96159,73.82859
2,30,15.89,900,19.95531,73.84089
2,28,14.83,775,19.95531,73.84089
3,50,26.48,1200,19.95531,73.84089
2,25,13.24,750,19.97611,73.8564
2,30,15.89,1050,19.95531,73.84089
3,50,26.48,1500,19.96175,73.84017
2,25,13.24,700,19.97611,73.8564
2,42,22.24,786,19.95531,73.84089
2,26,13.77,733,19.95531,73.84089
2,28,14.83,775,19.95531,73.84089
2,35,18.53,960,20.02679,73.80024
2,42,22.24,1050,25.36176,83.01741
2,42,22.24,1050,19.98789,73.76374
2,42,22.24,1085,20.01923,73.75618
1,25,13.24,500,20.01947,73.79172
2,23,12.18,850,19.97611,73.8564
1,16,8.47,615,19.95401,73.83873
2,48,25.42,800,20.00658,73.78997
1,26,13.77,756,19.95531,73.84089
2,45,23.83,990,19.95167,73.84152
2,35,18.53,912,19.97442,73.83381
2,28,14.83,850,19.96119,73.74556
1,23.5,12.44,735,19.9305322,73.81173403
2,30,15.89,750,20.01085,73.79418
2,29.5,15.62,800,20.01197,73.74128
2,38,20.12,912,19.97430003,73.75463008
3,54,28.6,1290,19.96758,73.7829
3,110,54.61,1290,20.00429,73.74321
2,28.5,15.09,850,19.94715,73.83453
2,27,14.3,850,19.97616,73.75902
1,45,23.83,720,19.99503,73.79647
2,21,11.12,650,20.04813,73.80687
2,30,15.89,900,19.98181,73.802
4,150,74.47,2576,20.01391,73.74033
